Jurisdiction,Value,Race/ ethnicity,Year,Measure
Caroline,,Hispanic,2019,Increase Physical Activity
Carroll,,Hispanic,2019,Increase Physical Activity
Cecil,,Hispanic,2019,Increase Physical Activity
Charles,,Hispanic,2019,Increase Physical Activity
Dorchester,,Hispanic,2019,Increase Physical Activity
Frederick,,Hispanic,2019,Increase Physical Activity
Garrett,,Hispanic,2019,Increase Physical Activity
Harford,,Hispanic,2019,Increase Physical Activity
Howard,,Hispanic,2019,Increase Physical Activity
Kent,,Hispanic,2019,Increase Physical Activity
Montgomery,34.0,Hispanic,2019,Increase Physical Activity
Prince George's,35.4,Hispanic,2019,Increase Physical Activity
Queen Anne's,,Hispanic,2019,Increase Physical Activity
Saint Mary's,,Hispanic,2019,Increase Physical Activity
Somerset,,Hispanic,2019,Increase Physical Activity
Talbot,,Hispanic,2019,Increase Physical Activity
Washington,,Hispanic,2019,Increase Physical Activity
Wicomico,,Hispanic,2019,Increase Physical Activity
Worcester,,Hispanic,2019,Increase Physical Activity
Baltimore City,,Hispanic,2019,Increase Physical Activity
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Increase Physical Activity
State,56.9,White Non-Hispanic/Latino,2019,Increase Physical Activity
Allegany,44.8,White Non-Hispanic/Latino,2019,Increase Physical Activity
Anne Arundel,58.5,White Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore County,54.3,White Non-Hispanic/Latino,2019,Increase Physical Activity
Calvert,53.7,White Non-Hispanic/Latino,2019,Increase Physical Activity
Caroline,55.0,White Non-Hispanic/Latino,2019,Increase Physical Activity
Carroll,57.2,White Non-Hispanic/Latino,2019,Increase Physical Activity
Cecil,52.2,White Non-Hispanic/Latino,2019,Increase Physical Activity
Charles,52.8,White Non-Hispanic/Latino,2019,Increase Physical Activity
Dorchester,46.5,White Non-Hispanic/Latino,2019,Increase Physical Activity
Frederick,58.5,White Non-Hispanic/Latino,2019,Increase Physical Activity
Garrett,55.8,White Non-Hispanic/Latino,2019,Increase Physical Activity
Harford,58.7,White Non-Hispanic/Latino,2019,Increase Physical Activity
Howard,57.2,White Non-Hispanic/Latino,2019,Increase Physical Activity
Kent,60.0,White Non-Hispanic/Latino,2019,Increase Physical Activity
Montgomery,62.3,White Non-Hispanic/Latino,2019,Increase Physical Activity
Prince George's,62.4,White Non-Hispanic/Latino,2019,Increase Physical Activity
Queen Anne's,57.1,White Non-Hispanic/Latino,2019,Increase Physical Activity
Saint Mary's,56.5,White Non-Hispanic/Latino,2019,Increase Physical Activity
Somerset,41.2,White Non-Hispanic/Latino,2019,Increase Physical Activity
Talbot,57.5,White Non-Hispanic/Latino,2019,Increase Physical Activity
