Jurisdiction,Value,Race/ ethnicity,Year,Measure
Prince George's,31.8,Black Non-Hispanic,2015,Weight
State,36.8,Hispanic,2015,Weight
Montgomery,49.7,Hispanic,2015,Weight
State,35.9,White Non-Hispanic,2015,Weight
Allegany,29.2,White Non-Hispanic,2015,Weight
Anne Arundel,37.6,White Non-Hispanic,2015,Weight
Baltimore City,41.9,White Non-Hispanic,2015,Weight
Baltimore County,33.0,White Non-Hispanic,2015,Weight
Calvert,20.2,White Non-Hispanic,2015,Weight
Caroline,24.3,White Non-Hispanic,2015,Weight
Carroll,31.5,White Non-Hispanic,2015,Weight
Cecil,47.9,White Non-Hispanic,2015,Weight
Charles,20.6,White Non-Hispanic,2015,Weight
Dorchester,32.5,White Non-Hispanic,2015,Weight
Frederick,43.2,White Non-Hispanic,2015,Weight
Garrett,32.3,White Non-Hispanic,2015,Weight
Harford,27.5,White Non-Hispanic,2015,Weight
Howard,29.9,White Non-Hispanic,2015,Weight
Kent,34.7,White Non-Hispanic,2015,Weight
Montgomery,43.2,White Non-Hispanic,2015,Weight
Prince George's,44.1,White Non-Hispanic,2015,Weight
Queen Anne's,35.8,White Non-Hispanic,2015,Weight
Saint Mary's,36.7,White Non-Hispanic,2015,Weight
Somerset,25.0,White Non-Hispanic,2015,Weight
Talbot,41.3,White Non-Hispanic,2015,Weight
Washington,33.2,White Non-Hispanic,2015,Weight
Wicomico,30.2,White Non-Hispanic,2015,Weight
Worcester,39.8,White Non-Hispanic,2015,Weight
State,56.3,Asian Non-Hispanic,2015,Weight
Montgomery,61.2,Asian Non-Hispanic,2015,Weight
State,35.1,All races/ ethnicities (aggregated),2014,Weight
Allegany,31.3,All races/ ethnicities (aggregated),2014,Weight
Anne Arundel,29.5,All races/ ethnicities (aggregated),2014,Weight
Baltimore City,35.5,All races/ ethnicities (aggregated),2014,Weight
Baltimore County,35.4,All races/ ethnicities (aggregated),2014,Weight
Calvert,32.9,All races/ ethnicities (aggregated),2014,Weight
Caroline,33.2,All races/ ethnicities (aggregated),2014,Weight
Carroll,30.7,All races/ ethnicities (aggregated),2014,Weight
Cecil,33.6,All races/ ethnicities (aggregated),2014,Weight
Charles,30.6,All races/ ethnicities (aggregated),2014,Weight
Dorchester,18.0,All races/ ethnicities (aggregated),2014,Weight
Frederick,32.0,All races/ ethnicities (aggregated),2014,Weight
Garrett,27.3,All races/ ethnicities (aggregated),2014,Weight
Harford,40.6,All races/ ethnicities (aggregated),2014,Weight
Howard,36.7,All races/ ethnicities (aggregated),2014,Weight
Kent,34.9,All races/ ethnicities (aggregated),2014,Weight
Montgomery,42.6,All races/ ethnicities (aggregated),2014,Weight
Prince George's,31.7,All races/ ethnicities (aggregated),2014,Weight
Queen Anne's,33.9,All races/ ethnicities (aggregated),2014,Weight
Saint Mary's,30.9,All races/ ethnicities (aggregated),2014,Weight
Somerset,20.2,All races/ ethnicities (aggregated),2014,Weight
Talbot,33.8,All races/ ethnicities (aggregated),2014,Weight
Washington,42.2,All races/ ethnicities (aggregated),2014,Weight
Wicomico,31.3,All races/ ethnicities (aggregated),2014,Weight
Worcester,36.2,All races/ ethnicities (aggregated),2014,Weight
State,26.1,Black Non-Hispanic,2014,Weight
Anne Arundel,18.5,Black Non-Hispanic,2014,Weight
Baltimore City,31.4,Black Non-Hispanic,2014,Weight
Baltimore County,23.8,Black Non-Hispanic,2014,Weight
Charles,25.5,Black Non-Hispanic,2014,Weight
Howard,15.8,Black Non-Hispanic,2014,Weight
Montgomery,32.1,Black Non-Hispanic,2014,Weight
Prince George's,25.1,Black Non-Hispanic,2014,Weight
Wicomico,16.8,Black Non-Hispanic,2014,Weight
State,31.2,Hispanic,2014,Weight
Montgomery,23.5,Hispanic,2014,Weight
Prince George's,44.6,Hispanic,2014,Weight
State,37.3,White Non-Hispanic,2014,Weight
Allegany,33.9,White Non-Hispanic,2014,Weight
Anne Arundel,33.3,White Non-Hispanic,2014,Weight
Baltimore City,41.7,White Non-Hispanic,2014,Weight
Baltimore County,37.0,White Non-Hispanic,2014,Weight
Calvert,33.9,White Non-Hispanic,2014,Weight
Caroline,31.4,White Non-Hispanic,2014,Weight
Carroll,27.5,White Non-Hispanic,2014,Weight
Cecil,33.3,White Non-Hispanic,2014,Weight
Charles,34.1,White Non-Hispanic,2014,Weight
Dorchester,18.9,White Non-Hispanic,2014,Weight
Frederick,31.5,White Non-Hispanic,2014,Weight
Garrett,24.3,White Non-Hispanic,2014,Weight
Harford,46.5,White Non-Hispanic,2014,Weight
Howard,38.8,White Non-Hispanic,2014,Weight
Kent,34.0,White Non-Hispanic,2014,Weight
Montgomery,44.5,White Non-Hispanic,2014,Weight
Prince George's,33.4,White Non-Hispanic,2014,Weight
Queen Anne's,34.7,White Non-Hispanic,2014,Weight
Saint Mary's,33.3,White Non-Hispanic,2014,Weight
Somerset,26.8,White Non-Hispanic,2014,Weight
Talbot,38.9,White Non-Hispanic,2014,Weight
Washington,40.7,White Non-Hispanic,2014,Weight
Wicomico,41.8,White Non-Hispanic,2014,Weight
Worcester,39.7,White Non-Hispanic,2014,Weight
State,60.7,Asian Non-Hispanic,2014,Weight
Montgomery,63.3,Asian Non-Hispanic,2014,Weight
State,35.8,All races/ ethnicities (aggregated),2013,Weight
Allegany,29.1,All races/ ethnicities (aggregated),2013,Weight
Anne Arundel,36.8,All races/ ethnicities (aggregated),2013,Weight
Baltimore City,35.0,All races/ ethnicities (aggregated),2013,Weight
Baltimore County,33.3,All races/ ethnicities (aggregated),2013,Weight
Calvert,31.6,All races/ ethnicities (aggregated),2013,Weight
Caroline,30.3,All races/ ethnicities (aggregated),2013,Weight
Carroll,38.5,All races/ ethnicities (aggregated),2013,Weight
Cecil,31.6,All races/ ethnicities (aggregated),2013,Weight
Charles,27.9,All races/ ethnicities (aggregated),2013,Weight
Dorchester,32.0,All races/ ethnicities (aggregated),2013,Weight
Frederick,39.2,All races/ ethnicities (aggregated),2013,Weight
Garrett,40.2,All races/ ethnicities (aggregated),2013,Weight
Harford,35.3,All races/ ethnicities (aggregated),2013,Weight
Howard,39.8,All races/ ethnicities (aggregated),2013,Weight
Kent,26.7,All races/ ethnicities (aggregated),2013,Weight
Montgomery,44.2,All races/ ethnicities (aggregated),2013,Weight
Prince George's,32.4,All races/ ethnicities (aggregated),2013,Weight
Queen Anne's,40.3,All races/ ethnicities (aggregated),2013,Weight
Saint Mary's,32.7,All races/ ethnicities (aggregated),2013,Weight
Somerset,22.8,All races/ ethnicities (aggregated),2013,Weight
Talbot,34.8,All races/ ethnicities (aggregated),2013,Weight
Washington,27.9,All races/ ethnicities (aggregated),2013,Weight
Wicomico,30.9,All races/ ethnicities (aggregated),2013,Weight
Worcester,27.5,All races/ ethnicities (aggregated),2013,Weight
State,29.0,Black Non-Hispanic,2013,Weight
Anne Arundel,37.6,Black Non-Hispanic,2013,Weight
Baltimore City,29.4,Black Non-Hispanic,2013,Weight
Baltimore County,23.8,Black Non-Hispanic,2013,Weight
Charles,30.4,Black Non-Hispanic,2013,Weight
Dorchester,19.2,Black Non-Hispanic,2013,Weight
Harford,35.5,Black Non-Hispanic,2013,Weight
Howard,7.3,Black Non-Hispanic,2013,Weight
Montgomery,30.2,Black Non-Hispanic,2013,Weight
Prince George's,31.1,Black Non-Hispanic,2013,Weight
Wicomico,23.5,Black Non-Hispanic,2013,Weight
State,32.6,Hispanic,2013,Weight
Montgomery,38.7,Hispanic,2013,Weight
Prince George's,19.4,Hispanic,2013,Weight
State,37.6,White Non-Hispanic,2013,Weight
Allegany,29.6,White Non-Hispanic,2013,Weight
Anne Arundel,33.4,White Non-Hispanic,2013,Weight
Baltimore City,45.7,White Non-Hispanic,2013,Weight
Baltimore County,34.3,White Non-Hispanic,2013,Weight
Calvert,32.9,White Non-Hispanic,2013,Weight
Caroline,25.9,White Non-Hispanic,2013,Weight
