objectID,ID,slug,name,popularity,type,_geoloc/lat,_geoloc/lng,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,area_id,area_name,country_id,country_name,city_id,city_name,state_id,state_name,verified_map_id,features/0,features/1,features/2,features/3,features/4,features/5,features/6,activities/0,activities/1,activities/2,activities/3,feature_names/0,feature_names/1,feature_names/2,feature_names/3,feature_names/4,feature_names/5,feature_names/6,activity_names/0,activity_names/1,activity_names/2,activity_names/3,overview,num_reviews,units,area_slug,trail_id,city_url,park_slug,profile_photo_url,features/7,activities/4,activities/5,feature_names/7,activity_names/4,activity_names/5,activities/6,activity_names/6,features/8,feature_names/8,activities/7,activity_names/7,activities/8,features/9,feature_names/9,activity_names/8,features/10,feature_names/10,activities/9,activities/10,activity_names/9,activity_names/10,features/11,feature_names/11
trail-10404995,10404995,us/maryland/valley-anglers-spur-woodland-gold-mine-and-chesapeake-and-ohio-canal-trail,"Valley, Anglers Spur, Woodland, Gold Mine and Chesapeake and Ohio Canal Trail ",1.9125,trail,38.98201,-77.22603,9334.172,128.93040000000002,3,L,2,3.5,10161408,Chesapeake and Ohio Canal National Historic Park,313,United States,6654,Potomac,21,Maryland,23289771,forest,kids,river,wildlife,,,,hiking,nature-trips,trail-running,,Forest,Kid Friendly,River,Wildlife,,,,Hiking,Nature Trips,Running,,,3,i,parks/us/maryland/chesapeake-and-ohio-canal-national-historic-park,10404995,us/maryland/potomac,us/maryland/chesapeake-and-ohio-canal-national-historic-park,https://cdn-assets.alltrails.com/uploads/photo/image/11002555/large_b0000605bb71561658a3c54c44c53c16.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10469770,10469770,us/maryland/captain-john-smith-loop,Captain John Smith Loop,1.8976,trail,39.22757,-76.72605,1448.406,48.768,1,L,2,5,10169436,Patapsco Valley State Park Avalon Area,313,United States,2471,Elkridge,21,Maryland,25103828,dogs-leash,forest,historic-site,kids,wild-flowers,wildlife,,birding,hiking,mountain-biking,nature-trips,Dogs Leash,Forest,Historic Site,Kid Friendly,Wild Flowers,Wildlife,,Bird Watching,Hiking,Mountain Biking,Nature Trips,,3,i,parks/us/maryland/patapsco-valley-state-park-avalon-area,10469770,us/maryland/elkridge,us/maryland/patapsco-valley-state-park-avalon-area,https://cdn-assets.alltrails.com/uploads/photo/image/22996712/large_79ccafadde6b22aed0f796a6a5deeb74.jpg,,trail-running,walking,,Running,Walking,,,,,,,,,,,,,,,,,,
trail-10319982,10319982,us/maryland/marsden-tract-campground-to-point-of-rocks,Marsden Tract Campground to Point of Rocks,1.8923,trail,38.97756,-77.21639,79501.396,134.7216,3,P,2,0,10161408,Chesapeake and Ohio Canal National Historic Park,313,United States,6654,Potomac,21,Maryland,19492002,dogs-leash,historic-site,kids,river,views,waterfall,,backpacking,bike-touring,camping,hiking,Dogs Leash,Historic Site,Kid Friendly,River,Views,Waterfall,,Backpacking,Bike Touring,Camping,Hiking,,0,i,parks/us/maryland/chesapeake-and-ohio-canal-national-historic-park,10319982,us/maryland/potomac,us/maryland/chesapeake-and-ohio-canal-national-historic-park,,,mountain-biking,,,Mountain Biking,,,,,,,,,,,,,,,,,,,
trail-10334319,10334319,us/maryland/cool-springs-run-and-turkey-hill-loop,Cool Springs Run and Turkey Hill Loop,1.8911,trail,39.21117,-77.31051,4023.35,101.8032,1,O,2,4,10117805,Black Hill Regional Park,313,United States,870,Boyds,21,Maryland,20708862,forest,lake,kids,views,,,,hiking,mountain-biking,nature-trips,trail-running,Forest,Lake,Kid Friendly,Views,,,,Hiking,Mountain Biking,Nature Trips,Running,,1,i,parks/us/maryland/black-hill-regional-park,10334319,us/maryland/boyds,us/maryland/black-hill-regional-park,https://cdn-assets.alltrails.com/uploads/photo/image/20823695/large_c21891b87b7460c73b7d3ac2cc50209d.jpg,,walking,horseback-riding,,Walking,Horseback Riding,,,,,,,,,,,,,,,,,,
trail-10413388,10413388,us/maryland/patuxent-river-trail,Patuxent River Trail,1.891,trail,39.27896,-77.13362,5310.822,54.864000000000004,1,O,1,3.5,10110484,Patuxent River State Park,313,United States,32230,Woodbine,21,Maryland,23342178,dogs-leash,forest,kids,river,wildlife,,,hiking,nature-trips,trail-running,,Dogs Leash,Forest,Kid Friendly,River,Wildlife,,,Hiking,Nature Trips,Running,,,3,i,parks/us/maryland/patuxent-river-state-park,10413388,us/maryland/woodbine,us/maryland/patuxent-river-state-park,https://cdn-assets.alltrails.com/uploads/photo/image/22909354/large_e7bccf943e6e970d9e37355ae3d33193.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10393317,10393317,us/maryland/clopper-lake-via-seneca-creek-greenway,Clopper Lake via Seneca Creek Greenway ,1.876,trail,39.13178,-77.26841,7081.096,109.72800000000001,3,L,2,4.5,10110503,Seneca Creek State Park,313,United States,2942,Gaithersburg,21,Maryland,23286999,forest,lake,kids,river,wildlife,,,hiking,nature-trips,trail-running,,Forest,Lake,Kid Friendly,River,Wildlife,,,Hiking,Nature Trips,Running,,,3,i,parks/us/maryland/seneca-creek-state-park,10393317,us/maryland/gaithersburg,us/maryland/seneca-creek-state-park,,,,,,,,,,,,,,,,,,,,,,,,,
trail-10264258,10264258,us/maryland/white-horse-park-ocean-pines-trail,White Horse Park Ocean Pines Trail,1.8292,trail,38.39912,-75.15987,1287.472,2.7432000000000003,1,L,1,3,10158344,White Hourse Park,313,United States,10882,Berlin,21,Maryland,15578083,dogs-no,kids,views,,,,,birding,hiking,nature-trips,trail-running,Dogs No,Kid Friendly,Views,,,,,Bird Watching,Hiking,Nature Trips,Running,,2,i,parks/us/maryland/white-hourse-park,10264258,us/maryland/berlin,us/maryland/white-hourse-park,https://cdn-assets.alltrails.com/uploads/photo/image/12158362/large_eba4ef9cdcdcb035fa9cddbb9b07442e.jpg,,walking,,,Walking,,,,,,,,,,,,,,,,,,,
trail-10308040,10308040,us/maryland/franklin-point-state-park,Franklin Point State Park Loop,1.8205,trail,38.81503,-76.51244,3862.416,6.7056000000000004,1,O,1,2.5,,,313,United States,28246,Shady Side,21,Maryland,18911586,dogs-leash,forest,kids,views,,,,birding,hiking,nature-trips,paddle-sports,Dogs Leash,Forest,Kid Friendly,Views,,,,Bird Watching,Hiking,Nature Trips,Paddle Sports,,6,i,,10308040,us/maryland/shady-side,,https://cdn-assets.alltrails.com/uploads/photo/image/20030672/large_a6d7513012c0af2a4016109d33afc540.jpg,,walking,canoeing,,Walking,,,,,,,,,,,,,,,,,,,
trail-10424038,10424038,us/maryland/harford-glen-pink-trail,Harford Glen Pink Trail,1.8079,trail,39.48647,-76.34238,3862.416,83.82000000000001,1,O,1,4.5,10170248,Harford Glen Environmental Education Center,313,United States,9253,Abingdon,21,Maryland,23719097,dogs-leash,forest,lake,kids,wildlife,,,hiking,nature-trips,trail-running,,Dogs Leash,Forest,Lake,Kid Friendly,Wildlife,,,Hiking,Nature Trips,Running,,,4,i,parks/us/maryland/harford-glen-environmental-education-center,10424038,us/maryland/abingdon,us/maryland/harford-glen-environmental-education-center,,,,,,,,,,,,,,,,,,,,,,,,,
trail-10344778,10344778,us/maryland/farm-pindell-bluff-beech-and-upper-railroad-bed-loop,"Farm, Pindell Bluff, Beech, and Upper Railroad Bed Loop",1.789,trail,38.78475,-76.70146,4988.954,28.956000000000003,1,L,2,3.5,10164269,Jug Bay Wetlands Sanctuary,313,United States,21415,Lothian,21,Maryland,20783146,forest,kids,river,views,wildlife,,,hiking,nature-trips,walking,,Forest,Kid Friendly,River,Views,Wildlife,,,Hiking,Nature Trips,Walking,,,4,i,parks/us/maryland/jug-bay-wetlands-sanctuary,10344778,us/maryland/lothian,us/maryland/jug-bay-wetlands-sanctuary,https://cdn-assets.alltrails.com/uploads/photo/image/13242386/large_3a0ad8c802bae915d1e922ad496bf050.jpg,,,,,,,,,,,,,,,,,,,,,,,,
