OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
3,e37c5e76-e98d-45eb-ad58-74f03ae01f0c,RT2201,Maryland Department of Transportation Port Administration,Cox Creek Community Trail,"1000 Kembo Road, Curtis Bay, MD",2022,83491,Procurement,,District 5,Anne Arundel,Construction of 2800 feet of the new Cox Creek Community Trail in the Cox Creek Forested Conservation Easement Area.,31B,,Non-motorized,Hike only,New Trail,3,Land,No,No,,,,,,Yes,,,,New Trail,,Yes,,1443617.07876389,557848.813521238
4,779f3dfc-7ca8-4fd8-8d5c-176e32f6c923,RT2202,"Wicomico County Recreation, Parks & Tourism",Pirate's Wharf,"Whitehaven Rd, Quantico, MD",2022,50000,Procurement,,District 1,Wicomico,Construct 2 stone dust surface trails and associated trailside amenities.,37B,,Non-motorized,Hike only,New Trail,3,Land,No,No,3/11/2022 5:00:00 AM,,,,,Yes,,,,New Trail,,No,,1671611.3304482,241068.431796841
5,d848295b-3622-4373-ae4b-3b3b37f6979e,RT2203,Queen Anne’s County Parks and Recreation,Kent Narrows Trail,321 Piney Narrows Road,2022,59040,MOU Execution / NEPA,,District 2,Queen Anne's,"Construct a 10-foot wide paved trail to provide a linkage to the existing Cross Island Trail from the northern portion of the Kent Narrows connecting to the Cross County Connector Trail that continues to Grasonville, MD.",36,,Non-motorized,Hike/Bike,New Trail,5,Land,,,,,,,,Yes,,,,New Trail,,,,1527491.59346908,475643.28046696
6,60f85ad9-a8a7-476a-b036-26e3f298ba3e,RT2204,Mid-Atlantic Off Road Enthusiasts,Rivers Edge Trails,"13th Ave., Brunswick, MD",2022,35520,Construction / Invoicing,,District 7,Frederick,Construction of 2 miles of natural surface singletrack multi-use trail and a trailhead kiosk.,4,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,,,,,,,Yes,,,,New Trail,,,,1140645.64868929,600459.237758374
8,3ed22eeb-1b37-42e2-adcf-f1ff2572c174,RT2206,Washington County Department of Public Works,Washington County Regional Park,,2022,120000,ROW,,District 6,Washington,Construction of 3/4 miles of multi-use crushed stone trail at Washington County Regional Park.,2A,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,Yes,,,,,,Yes,,,,New Trail,,,,1123450.76672974,710020.580507117
9,9ddf34de-ec33-4a4a-ab6f-dadf70f32432,RT2208,Catoctin Furnace Historical Society,Catoctin Iron Trail,"Catoctin Furnace Rd, Thurmont, MD",2022,55680,Construction,,District 7,Frederick,Restoration of 2095 feet of existing trail between the Catoctin Furnace ruins and the Manor Area of Cunningham Falls State Park.,4,,Non-motorized,Hike only,Maintenance,3,Land,No,No,3/17/2022 4:00:00 AM,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1189901.00565506,697720.880059562
10,71599d43-eac4-4363-b48a-5d2cba16bdcf,RT2210,DNR - MPS - Pocomoke River State Park,Trail of Change Improvements,,2022,130073,Procurement,,District 1,Worcester,Construction of 2376 feet puncheon boardwalks on the Trail of Change at Pocomoke State Park.,38A,,Non-motorized,Hike only,Maintenance,4,Land,Yes,No,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1761758.39629792,176882.559525397
11,086966cc-8e05-4f81-86ef-82bfabfab066,RT2211,DNR - MPS - North Point State Park,North Point Hiker Biker and Black Marsh Trail Restoration,,2022,62988,Closeout,,District 4,Baltimore,"Resurfacing the Hiker Biker and Black Marsh trails at North Point State Park to improve drainage, safety, and trail sustainability.",6,6/15/2023 4:00:00 AM,Non-motorized,Hike/Bike,Maintenance,4,Land,No,,,,,,6/15/2023 4:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,Yes,,1474939.38137659,561603.157045126
13,8812163d-ff96-4918-b59b-ad3f498f797a,RT2214,DNR - MFS - Potomac-Garrett State Forest,Burkholder Road ORV Trail Resurfacing,,2022,124721,Closeout,,District 6,Garrett,Restoration and maintenance of the trail bed surface and all associated drainage features on the Burkholder Road Off-Road Vehicle Trail at Potomac Garrett State Forest.,1A,5/3/2024 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,3,Land,,,,,,,11/15/2023 5:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,Yes,,701488.641852396,665748.453413625
14,d53abdc6-0ae9-4667-be43-3aa00ecfba84,RT2101,Adkins Arboretum,Arboretum Trail Maintenance,,2021,25271,Closeout,,District 2,Caroline,"This project involves the maintenance of five miles of trails that  traverse the Arboretum and connect to the Tuckahoe State Park trails, the addition of Tuckahoe Valley Trail directional signs, replacement of the Nature's Role in the UGRR audio tour signs and installation of waterproof map boxes.",36,9/6/2022 4:00:00 AM,Motorized,Hike/Bike,Maintenance,3,Land,No,No,1/27/2021 5:00:00 AM,,3/15/2021 4:00:00 AM,3/18/2021 4:00:00 AM,8/9/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1615444.17286695,470251.532272023
16,9f155af2-903b-4db5-bda6-58dbd2f8e939,RT2104,Garrett Trails,Fork Run Trail Extension,,2021,54177,Design / NEPA,,District 6,Garrett,"New construction of a 1.2 mile (6,336') hiking and mountain biking trail, connecting the Adventures Sports Complex International with the Fork Run Recreation Area.",1A,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,,1/27/2021 5:00:00 AM,,,,,Yes,,,,New Trail,,,,634324.932077922,685726.777232418
18,3aad9897-6ff0-4233-8ad4-76b768cd83df,RT2106,Maryland-National Capital Park and Planning Commission,Critical Area Driving Tour,,2021,36750,Closeout,,District 3,Prince George's,"This project will update and replace ten interpretive signs along the Chesapeake Bay Critical Area Driving Tour, replace two observation tower viewers, and provide necessary funds to maintain the trail so that it remains safe for vehicles including replacing the boards of the bridge between Merkle NRMA and Patuxent River Park.",23B,4/5/2024 4:00:00 AM,Motorized,,Maintenance,5,Land,No,No,4/5/2021 4:00:00 AM,,3/17/2021 4:00:00 AM,6/16/2021 4:00:00 AM,12/11/2023 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1397674.26445779,395778.757549633
19,7dd6d9fa-9065-4694-ada3-13a0b83dfd50,RT2108,DNR - MFS - Elk Neck State Forest,Elk Neck Labor 2021,,2021,72165,Hiring,,District 2,Cecil,This project will enable Fair Hill NRMA/Bohemia River State Park to employ one (1) Long-Term Contractual (12 months) Lead Trail Technician to restore existing trails and build new trails.,35A,,Diverse,Hike/Bike,Maintenance,,Land,,,4/5/2021 4:00:00 AM,,12/23/2021 5:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1617682.3402696,697977.691275485
20,0a22109a-b75f-4b7e-949d-13896714ad1c,RT2109,DNR - MPS - Deep Creek Lake State Park,Fire Tower ORV Trail,,2021,35200,Closeout,,District 6,Garrett,"This project would aim to make repairs to double track trail on the Fire Tower/ORV Trail at Deep Creek Lake SP. It is proposed that the segments of this trail in need of major repair be graded to promote proper drainage, water diversion structures re-established, and the impacted areas filled and covered with gravel.",1A,5/31/2024 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,,Land,,,4/12/2021 4:00:00 AM,,12/14/2021 5:00:00 AM,,3/14/2024 4:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,Yes,,661089.268289876,689667.489882072
21,c07ef47f-6c8d-487b-be84-9bc3867e6f01,RT2110,DNR - MPS - Fair Hill NRMA,Fair Hill Labor 2021,,2021,38085,NEPA,,District 2,Cecil,This project will consist of the maintaining of the entire 27 mile trail system at Elk Neck State Forest using a trail crew.  Additional trail crew work includes transitioning suitable areas of trails from single tread to dual tread based upon site conditions and current linkages to accessible areas and working with Forest staff to identify and work to establish up to 14 miles of new dual tread trail.,35A,,Non-motorized,Hike/Bike/Horse,Maintenance,,,,,4/12/2021 4:00:00 AM,,,,,Yes,,,,Maintenance and Restoration,,,,1634223.84659922,745055.950033514
22,eb7e6e26-6366-4349-a370-407d477a6c9b,RT2114,DNR - MPS - Patapsco Valley State Park,Patapsco Trail Labor 2021,,2021,32000,Closeout,,,Howard,Project will be spread through out the park and its 220 mile + trail system.  There are a lot of trails that saw excessive wear that need to be fixed using best management practices. In addition to provide better response time to down trees on trails.,,3/29/2024 4:00:00 AM,Non-motorized,Hike/Bike,Maintenance,3,Land,,,4/12/2021 4:00:00 AM,,,,2/2/2024 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1371528.08064848,593419.185221381
23,c82bd9a8-f2b7-4918-9d28-ad5db7914e39,RT2001,Allegany County Department of Public Works,GAP Trail Maintenance,,2020,40680,Maintenance,,District 6,Allegany,This project will involve the long-term lease of a mini excavator for use by the office’s Alternative Sentencing Division to maintain 21 miles of the Great Allegheny Passage.,1B,,Non-motorized,Hike/Bike,Maintenance,4,Land,No,No,11/4/2019 5:00:00 AM,,1/15/2020 5:00:00 AM,1/22/2020 5:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,771257.492326959,731495.68331275
24,dc345efa-07d7-4cc6-a20b-8d74e449b246,RT2009,DNR - MPS - Fort Frederick State Park,Beaver Pond Loop Trail,,2020,107530,Closeout,,District 6,Washington,This project will construct a singletrack trail extension to the Beaver Pond Trail.  The gravel trail extension will be 1.5 miles long.,1C,5/23/2023 4:00:00 AM,Non-motorized,Hike/Bike,New Trail,3,Land,No,No,11/27/2019 5:00:00 AM,,6/30/2020 4:00:00 AM,,1/5/2022 5:00:00 AM,Yes,,,,New Trail,,,,1029108.87973119,706888.27666
25,c75533e1-490b-4727-b045-d3fd488c7072,RT2016,DNR - MPS - Susquehanna State Park,Lower Susquehanna Heritage Trail and Boardwalk Resurfacing,,2020,81112,Closeout,,District 4,Harford,This project will replace the 620-foot-long and nine-foot-wide boardwalk surface on the Lower Susquehanna Heritage Trail.,35B,11/28/2022 5:00:00 AM,Non-motorized,Hike/Bike,Maintenance,4,Land,No,,11/27/2019 5:00:00 AM,,5/5/2020 4:00:00 AM,3/9/2021 5:00:00 AM,11/2/2022 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1546170.03259203,724029.572897176
26,7c0f5f2b-b0c7-4a59-af5a-f2c3a3423bd2,RT2018,DNR - MFS - Pocomoke State Forest,Summerfield Trail System,,2020,42005,Construction,,District 1,Worcester,,38A,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,No,No,4/5/2021 4:00:00 AM,,11/20/2020 5:00:00 AM,,2/9/2022 5:00:00 AM,Yes,,,,New Trail,,,,1771471.23716752,187623.236386498
27,526c1940-37f7-499f-be71-f4958cceb03c,RT2019,Mid-Atlantic Off Road Enthusiasts,Seneca Creek Signage and Wayfinding,,2020,23100,Closeout,,District 3,Montgomery,,39,2/16/2023 5:00:00 AM,Non-motorized,Hike/Bike,Kiosks and/or Signage,3,Land,No,No,5/1/2020 4:00:00 AM,,4/29/2020 4:00:00 AM,5/11/2020 4:00:00 AM,1/4/2023 5:00:00 AM,Yes,,,,Trail Amenities and Signage,,,,1241578.58296591,540568.032174769
29,b311743a-03f4-404e-a44f-833b30cbd6d7,RT2021,"Charles County Recreation, Parks & Tourism",Indian Head Rail Trail Resurfacing,,2020,80000,Closeout,,District 5,Charles,,28,12/21/2021 5:00:00 AM,Non-motorized,Hike/Bike,Maintenance,5,Land,No,No,5/1/2020 4:00:00 AM,,9/11/2020 4:00:00 AM,11/9/2020 5:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1264242.08578054,338889.012892872
30,1b6c8a9c-0b3d-43f2-a922-130070fe0f0b,RT2209,DNR - MPS - Tuckahoe State Park,Tuckahoe Trail Labor 2022,,2022,38272,Hiring,,District 2,Caroline,"Hire one Long-Term Contractual (12 months) Lead Trail Technician to complete tasks that focus on the sustainable construction, maintenance and restoration of the almost 50 miles of trails throughout the areas of the Tuckahoe Complex, including Tuckahoe State Park, Martinak State Park, Wye Island NRMA, and Sassafras NRMA.",36,,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,Yes,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1615160.5949077,467577.045142171
31,397ba68a-ba5d-4b09-ae84-7cd5291bda79,RT1903,Garrett County Board of County Commissioners,Meadow Mt - New Germany Road to Otto Lane,,2019,80000,Closeout,,District 6,Garrett,,1A,11/29/2021 5:00:00 AM,Diverse,Snowmobile,Maintenance,4,Land,No,No,1/3/2019 5:00:00 AM,,5/23/2019 4:00:00 AM,10/3/2019 4:00:00 AM,8/9/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,714499.007903042,729409.736204864
32,017f66e3-4ef4-43a0-8eed-59d8794dbefa,RT2023,Accokeek Foundation,Piscataway Park Trail Improvements,,2020,61472,Closeout,,District 3,Prince George's,,26,1/16/2024 5:00:00 AM,Non-motorized,Hike only,Maintenance,3,Land,,,5/1/2020 4:00:00 AM,,2/3/2022 5:00:00 AM,2/14/2022 5:00:00 AM,2/18/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1297971.98786713,372540.422775984
33,6eed894b-d359-4c00-88c5-d4ad6413d16a,RT1901,Audubon Naturalist Society,Nature Trail for All,,2019,223106,Closeout,,District 3,Montgomery,,18,11/29/2021 5:00:00 AM,Non-motorized,Hike only,New Trail,5,Land,No,Yes,11/19/2018 5:00:00 AM,,1/23/2019 5:00:00 AM,1/28/2019 5:00:00 AM,,Yes,,,,New Trail,,,,1293998.74517708,486624.194753806
34,e2124465-9762-4703-922d-547e0f7b78ff,RT1902,Allegany County Department of Public Works,Borden Tunnel Solar Lighting,,2019,146400,Closeout,,District 6,Allegany,,1B,1/19/2021 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Amenities,4,Land,No,No,1/3/2019 5:00:00 AM,,3/22/2019 4:00:00 AM,3/26/2019 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,772057.382617154,741764.711285697
35,1aac4e28-cb39-4eaa-80a2-43c9448efb72,RT1908,DNR - MPS - Dans Mountain State Park,Dans Mountain Perimeter Trail,,2019,184000,Closeout,n/a,District 6,Allegany,"a natural surface singletrack recreational trail circumnavigating Dans Mountain State Park, connecting to its primary developed facilities: pool, Dye School interpretive site, fishing pond, shelters, and group camping areas.",1A,5/3/2023 4:00:00 AM,Non-motorized,Hike/Bike,New Trail,3,Land,No,No,12/19/2018 5:00:00 AM,12/31/2022 5:00:00 AM,7/29/2019 4:00:00 AM,,5/3/2023 4:00:00 AM,Yes,GPS,,,New Trail,,,,763085.913005613,694602.567117902
36,83c01d81-e0d5-46e3-8d41-770c7229cc74,RT1911,DNR - MPS - Gunpowder State Park,Gunpowder Hereford Trail Crew 2019,,2019,25152,Closeout,,District 4,Baltimore,,7,12/22/2022 5:00:00 AM,Non-motorized,Hike only,Maintenance,2,Land,No,No,12/19/2018 5:00:00 AM,9/30/2022 4:00:00 AM,9/13/2019 4:00:00 AM,,12/12/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1415153.9418511,707563.743042989
38,58656ac5-5cfa-4833-94ed-89d4c24dc186,RT1923,Town of Mount Airy,Old Main Line Central Branch Trail Boardwalk,,2019,321000,Closeout,,District 7,Carroll,,4,1/23/2023 5:00:00 AM,Non-motorized,Hike/Bike,New Trail with Structure,4,Land,Yes,Yes,7/11/2019 4:00:00 AM,,2/26/2019 5:00:00 AM,4/30/2020 4:00:00 AM,1/11/2023 5:00:00 AM,Yes,,,,New Trail,,Yes,,1269371.95943551,622519.506701399
39,d2f62179-1ca8-4685-b082-3a3c053acb25,RT1920,Town of Easton,Easton Rail Trail Spur,,2019,946897,Procurement / Construction,,District 2,Talbot,,37B,,Non-motorized,Hike/Bike,New Trail,5,Land,No,Yes,4/1/2019 4:00:00 AM,6/30/2023 4:00:00 AM,10/10/2019 4:00:00 AM,,2/9/2022 5:00:00 AM,Yes,,,,New Trail,,,,1575490.04071577,402229.581026197
40,c194143e-3cfb-48d4-85f1-e07b6550349b,RT1802,Pickering Creek Audubon Center,Exploring Native Meadow,"11450 Audubon Ln, Easton, MD 21601",2018,112950,Closeout,,District 2,Talbot,Construction of a viewing platform and installation of wayfinding signage.,37B,8/31/2021 4:00:00 AM,Non-motorized,Hike only,Amenities,0,Land,No,No,4/23/2018 4:00:00 AM,9/30/2021 4:00:00 AM,8/31/2018 4:00:00 AM,10/4/2018 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,1560602.8872859,436438.139629635
41,98ac74e9-ac78-4d97-a2ef-c0d850a5db44,RT1803,DNR - MFS - Savage River State Forest,St. Johns Rock Maintenance 2018,,2018,28488,Closeout,,District 6,Garrett,,1A,7/15/2022 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,4,Land,No,No,5/29/2018 4:00:00 AM,6/30/2022 4:00:00 AM,7/11/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,754835.259866134,731337.249897845
42,a0b13847-45b2-491e-ae75-ca47ededd0f4,RT1812,DNR - MPS - Patuxent River State Park,Gather Farm Trail,,2018,30000,Closeout,,District 3,Montgomery,,14,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,No,6/14/2018 4:00:00 AM,12/31/2022 5:00:00 AM,8/31/2020 4:00:00 AM,3/14/2022 4:00:00 AM,1/10/2022 5:00:00 AM,Yes,GPS,,,New Trail,,Yes,,1289053.54317138,575175.806045353
43,c0578ca8-9eaa-49b5-aa64-c97718001a4e,RT1813,DNR - MPS - Patapsco Valley State Park,Bloede Trail Connector,,2018,29760,Closeout,,District 4,Baltimore,,12,7/29/2021 4:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,No,No,6/14/2018 4:00:00 AM,12/31/2021 5:00:00 AM,4/19/2019 4:00:00 AM,,,Yes,,,,New Trail,,,,1380907.67354065,575626.012938224
44,1b0e84fc-3b92-4a55-8a0f-656a0c088f29,RT1816,DNR - MPS - Gunpowder State Park,Torrey Brown Trail Crew 2018,,2018,29998,Closeout,,District 4,Baltimore,,7,6/30/2022 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,4,Land,No,No,6/14/2018 4:00:00 AM,6/30/2022 4:00:00 AM,4/4/2019 4:00:00 AM,,1/14/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1416540.00313329,712573.958023074
