OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
68,126bd383-470a-4818-9028-8eeb28fc7753,RT1814,DNR - MPS - Cunningham Falls State Park,Cunningham Falls Campground Trail Phase 1,,2018,37200,Closeout,,District 7,Frederick,,4,11/10/2022 5:00:00 AM,Non-motorized,Hike/Bike,New Trail,4,Land,No,No,6/14/2018 4:00:00 AM,12/31/2022 5:00:00 AM,6/14/2018 4:00:00 AM,4/2/2019 4:00:00 AM,1/14/2022 5:00:00 AM,Yes,,,,New Trail,,,,1177013.94126618,714941.727864223
69,a28d7457-3577-4253-a118-7a9530255c25,RT1914,DNR - MPS - Cunningham Falls State Park,Cunningham Falls Campground Trail Phase 2,,2019,27600,Procurement,,District 7,Frederick,,4,,Non-motorized,Hike/Bike,New Trail,4,Land,No,No,12/19/2018 5:00:00 AM,6/30/2023 4:00:00 AM,4/4/2019 4:00:00 AM,,,Yes,,,,New Trail,,,,1176977.58091951,714923.858290681
70,4c206243-f539-4c13-96f8-58dc53188136,RT1922,DNR - MPS - Torrey C. Brown Rail Trail,TCBT Bridge Assessment,,2019,185000,Closeout,,District 4,Baltimore,,7,9/20/2022 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Assessment,4,Land,No,No,3/18/2019 4:00:00 AM,6/30/2022 4:00:00 AM,2/20/2019 5:00:00 AM,,4/26/2021 4:00:00 AM,Yes,,,,Other,,,,1416540.00313329,712573.958023074
71,1ad3fee3-5862-40da-b88d-ff0871876c95,RT1801,Adkins Arboretum,South Meadow Trail Platform,,2018,55250,Closeout,,District 2,Caroline,,36,10/22/2019 4:00:00 AM,Non-motorized,Hike only,Amenities,0,Land,No,No,4/25/2018 4:00:00 AM,,3/6/2019 5:00:00 AM,3/21/2019 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,1614663.08642604,470081.066305097
72,2102a317-ecf2-4520-b48b-21376c6f8313,RT1815,DNR - MPS - Western Maryland Rail Trail,WMRT/Fort Frederick Signage,,2018,28980,Closeout,,District 6,Washington,,1C,6/30/2022 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Kiosks and/or Signage,5,Land,No,No,6/14/2018 4:00:00 AM,6/30/2022 4:00:00 AM,12/7/2018 5:00:00 AM,,6/30/2021 4:00:00 AM,Yes,,,,Trail Amenities and Signage,,,,1025658.21705292,714669.101122312
73,3675bc04-82b7-43a5-8997-4081879d0476,RT1452,DNR - MPS - Janes Island State Park,Marine Recreation and Education,,2014,19971,Closeout,,District 1,Somerset,,38A,12/12/2018 5:00:00 AM,Non-motorized,Kayak/Canoe/Paddle Board,Education,0,Water,No,No,,,,,,Yes,,,,Education,,,,1644222.61782154,127022.314563871
74,72e6421c-55bc-48af-aab1-423ee5e22632,RT1704,Calvert County Board of Commissioners,Lower Marlboro Floating Dock,,2017,33000,Closeout,,District 5,Calvert,,27B,4/5/2019 4:00:00 AM,Non-motorized,Kayak/Canoe/Paddle Board,Water Access,0,Water,No,No,7/7/2017 4:00:00 AM,,2/8/2017 5:00:00 AM,4/16/2018 4:00:00 AM,,Yes,,,,Water Access,,,,1402784.53889628,360395.296704353
75,96441b2e-8593-4809-8537-b3479b78aa26,RT1701,Annapolis Maritime Museum,Ellen O Moyer Park Trail Restoration,,2017,26754,Closeout,,District 5,Anne Arundel,,30A,7/21/2022 4:00:00 AM,Non-motorized,Hike only,Maintenance,4,Land,No,No,7/7/2017 4:00:00 AM,6/30/2022 4:00:00 AM,12/11/2017 5:00:00 AM,1/26/2018 5:00:00 AM,6/24/2022 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1460705.03926799,472020.112067545
76,b34b99ee-4923-4a2d-8a1d-b59ca126599a,RT1705,Cylburn Arboretum,Arboretum Trail Improvements,,2017,343300,Closeout,,No District,Baltimore City,,41,9/21/2020 4:00:00 AM,Non-motorized,Hike only,Maintenance,4,Land,No,No,7/7/2017 4:00:00 AM,,1/4/2018 5:00:00 AM,1/26/2018 5:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1409824.64489725,613905.381969429
77,f28fbd4f-f2b4-429e-b2b7-691b57de1a90,RT1706,Town of Federalsburg,Marshyhope Creek Greenway Trail Signage,,2017,7980,Closeout,,District 2,Caroline,,37B,10/25/2019 4:00:00 AM,Non-motorized,Hike/Bike,Kiosks and/or Signage,4,Land,No,No,7/7/2017 4:00:00 AM,,4/6/2017 4:00:00 AM,7/28/2017 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,1663312.86578435,374276.450454883
78,59b5a0ca-aaeb-4dd4-9811-d7786eb5dad2,RT1708,City of Frostburg,GAP Trailhead Amenities,,2017,16800,Closeout,,District 6,Allegany,,1B,6/28/2021 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Amenities,5,Land,No,No,7/7/2017 4:00:00 AM,,5/8/2017 4:00:00 AM,8/17/2017 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,770715.805080333,730667.43487144
79,c2df5318-c909-4d08-a243-ae83d1b4a376,RT1710,Howard County Conservancy,Accessible Trail Improvement Phase 3,,2017,29000,Closeout,,District 7,Howard,,9A,4/24/2019 4:00:00 AM,Non-motorized,Hike only,Maintenance,5,Land,No,No,7/7/2017 4:00:00 AM,,5/11/2018 4:00:00 AM,5/18/2018 4:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1347932.52776947,600598.778704057
80,84bf0d68-82f4-4a12-965c-d3e49f317ab3,RT1605,Howard County Conservancy,Accessible Trail Improvement Phase 2,,2016,24800,Closeout,,District 7,Howard,,9A,12/17/2018 5:00:00 AM,Non-motorized,Hike only,Maintenance,5,Land,No,No,5/5/2016 4:00:00 AM,,6/10/2016 4:00:00 AM,8/3/2016 4:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1347932.52776947,600598.778704072
81,43fa7bac-55ac-4ef7-81f5-8acc14c246de,RT1712,Irvine Nature Center,Bauer Preserve Trail Construction,,2017,34450,Closeout,,District 4,Baltimore,,11,1/8/2019 5:00:00 AM,Non-motorized,Hike only,New Trail with Structure,4,Land,No,No,3/15/2018 4:00:00 AM,,11/22/2017 5:00:00 AM,3/16/2018 4:00:00 AM,,Yes,,,,New Trail,,,,1379317.53766755,643379.313125946
82,a4eee60c-2f2c-4b21-96a5-1b13dc7add0e,RT1715,Mid-Atlantic Off Road Enthusiasts,Frederick Watershed Trail Construction,,2017,58500,Closeout,,District 7,Frederick,,4,2/4/2020 5:00:00 AM,Non-motorized,Hike/Bike,New Trail,3,Land,No,No,11/26/2018 5:00:00 AM,,2/12/2019 5:00:00 AM,2/22/2019 5:00:00 AM,,Yes,,,,New Trail,,,,1178758.24159727,664447.781863041
83,3c614ba5-adea-4132-96b3-b150bf64486e,RT1716,Mid-Atlantic Off Road Enthusiasts,Rivers Edge Trail System Construction Phase 1,"13th Ave., Brunswick, MD",2017,31250,Closeout,,District 7,Frederick,,4,10/2/2020 4:00:00 AM,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,No,No,2/20/2018 5:00:00 AM,,7/14/2017 4:00:00 AM,2/26/2018 5:00:00 AM,,Yes,,,,New Trail,,,,1140645.64868929,600459.237758374
84,138a2a5f-0a73-4256-9e2b-435aded60b52,RT1717,Pocomoke City,Pocomoke River Trail Restoration,,2017,40000,Closeout,,District 1,Worcester,,38A,11/27/2019 5:00:00 AM,Non-motorized,Hike/Bike,Maintenance,4,Land,No,No,9/16/2018 4:00:00 AM,,11/16/2018 5:00:00 AM,11/20/2018 5:00:00 AM,,Yes,,,,Maintenance and Restoration,,,,1725160.19264718,154431.119816266
